都道府県名,年,国籍,年間訪問者数,第1四半期,第2四半期,第3四半期,第4四半期
東京都,2012,韓国,730331,195991,157109,194386,182845
東京都,2012,中国,845709,202204,240194,326725,76586
東京都,2012,台湾,615463,123455,169409,180846,141753
東京都,2012,香港,251594,56710,65129,66242,63513
東京都,2012,タイ,144820,30663,43853,22718,47586
東京都,2012,シンガポール,94872,20219,23161,15833,35659
東京都,2012,マレーシア,70915,11102,21119,15624,23070
東京都,2012,インド,43419,10136,11548,10254,11481
東京都,2012,英国,135294,34701,34017,29555,37021
東京都,2012,フランス,106538,21896,26804,28920,28918
東京都,2012,ドイツ,66075,15923,15477,15568,19107
東京都,2012,ロシア,37265,7771,8110,9908,11476
東京都,2012,カナダ,96510,23627,23908,21987,26988
東京都,2012,米国,439900,100278,125351,97118,117153
東京都,2012,オーストラリア,142168,32253,32043,34232,43640
神奈川県,2012,韓国,155751,39558,33716,37026,45451
神奈川県,2012,中国,275903,53229,84426,116788,21460
神奈川県,2012,台湾,161841,32295,40037,44220,45289
神奈川県,2012,香港,39820,8202,8275,11905,11438
神奈川県,2012,タイ,43001,9560,10623,5742,17076
神奈川県,2012,シンガポール,21422,4995,5900,2946,7581
神奈川県,2012,マレーシア,14627,2443,5157,2467,4560
神奈川県,2012,インド,16103,4492,4313,3182,4116
神奈川県,2012,英国,26888,6776,7537,6820,5755
神奈川県,2012,フランス,21087,4704,4677,7004,4702
神奈川県,2012,ドイツ,16750,2369,5254,5838,3289
神奈川県,2012,ロシア,9107,2033,1318,2909,2847
神奈川県,2012,カナダ,18242,3500,5289,4091,5362
神奈川県,2012,米国,134366,28115,43637,29107,33507
神奈川県,2012,オーストラリア,21869,3308,5243,5135,8183
千葉県,2012,韓国,97147,22296,25721,23802,25328
千葉県,2012,中国,215861,45114,52961,104792,12994
千葉県,2012,台湾,159378,24508,40634,64043,30193
千葉県,2012,香港,41019,10545,8275,16179,6020
千葉県,2012,タイ,33843,6674,7627,4743,14799
千葉県,2012,シンガポール,19743,3092,4807,2578,9266
千葉県,2012,マレーシア,21948,4219,8350,2673,6706
千葉県,2012,インド,6513,1497,1948,1768,1300
千葉県,2012,英国,17704,3901,4889,3927,4987
千葉県,2012,フランス,7643,1460,1799,2033,2351
千葉県,2012,ドイツ,8053,1316,1420,2811,2506
千葉県,2012,ロシア,5661,1017,1217,2182,1245
千葉県,2012,カナダ,16557,3500,3808,4602,4647
千葉県,2012,米国,85437,17572,21957,22767,23141
千葉県,2012,オーストラリア,25561,4135,8448,5477,7501
埼玉県,2012,韓国,45073,9710,8690,14877,11796
埼玉県,2012,中国,29833,4544,9035,10938,5316
埼玉県,2012,台湾,24269,4352,5079,7929,6909
埼玉県,2012,香港,3494,234,534,1221,1505
埼玉県,2012,タイ,10963,1804,3269,2247,3643
埼玉県,2012,シンガポール,2511,714,219,736,842
埼玉県,2012,マレーシア,901,222,0,411,268
埼玉県,2012,インド,1658,230,278,825,325
埼玉県,2012,英国,3206,821,407,827,1151
埼玉県,2012,フランス,3592,811,720,1356,705
埼玉県,2012,ドイツ,3296,790,426,1297,783
埼玉県,2012,ロシア,975,218,304,364,89
埼玉県,2012,カナダ,2456,219,423,1278,536
埼玉県,2012,米国,12381,2343,4169,3458,2411
埼玉県,2012,オーストラリア,2565,276,583,342,1364
群馬県,2012,韓国,14164,3237,2781,3636,4510
群馬県,2012,中国,12298,1298,3738,5293,1969
群馬県,2012,台湾,17431,2290,2988,3965,8188
群馬県,2012,香港,2411,703,801,305,602
群馬県,2012,タイ,813,541,272,0,0
群馬県,2012,シンガポール,465,0,0,184,281
群馬県,2012,マレーシア,1077,666,0,411,0
群馬県,2012,インド,1216,346,417,236,217
群馬県,2012,英国,1191,616,0,0,575
群馬県,2012,フランス,1569,162,720,452,235
群馬県,2012,ドイツ,994,263,142,432,157
群馬県,2012,ロシア,255,73,0,182,0
群馬県,2012,カナダ,1070,0,635,256,179
群馬県,2012,米国,5620,703,2224,1729,964
群馬県,2012,オーストラリア,1234,551,0,342,341
山梨県,2012,韓国,20603,5394,2781,8265,4163
山梨県,2012,中国,204859,45764,56077,96324,6694
山梨県,2012,台湾,70910,9162,20915,23178,17655
山梨県,2012,香港,26386,6561,6139,10074,3612
山梨県,2012,タイ,42640,11363,11712,4993,14572
山梨県,2012,シンガポール,9139,1665,2622,921,3931
山梨県,2012,マレーシア,10213,2220,3192,1850,2951
山梨県,2012,インド,1847,461,835,118,433
山梨県,2012,英国,9125,821,2444,4134,1726
山梨県,2012,フランス,4484,487,1259,2033,705
山梨県,2012,ドイツ,2396,263,426,1081,626
山梨県,2012,ロシア,2334,218,1217,454,445
山梨県,2012,カナダ,7876,438,2327,3324,1787
山梨県,2012,米国,21947,3983,8060,7493,2411
山梨県,2012,オーストラリア,10510,1103,2913,3766,2728
栃木県,2012,韓国,21969,4315,3128,7934,6592
栃木県,2012,中国,15827,2597,5608,3881,3741
栃木県,2012,台湾,22557,3436,5079,4575,9467
栃木県,2012,香港,4628,469,534,916,2709
栃木県,2012,タイ,13573,2886,3269,1498,5920
栃木県,2012,シンガポール,1939,476,437,184,842
栃木県,2012,マレーシア,4021,1332,1473,411,805
栃木県,2012,インド,2250,461,974,707,108
栃木県,2012,英国,7236,821,1426,2687,2302
栃木県,2012,フランス,6164,649,1619,2485,1411
栃木県,2012,ドイツ,4447,1053,568,1730,1096
栃木県,2012,ロシア,2855,1017,304,1000,534
栃木県,2012,カナダ,2803,219,846,1023,715
栃木県,2012,米国,19107,2109,5837,6340,4821
栃木県,2012,オーストラリア,6284,827,2039,2054,1364
茨城県,2012,韓国,18626,4675,2433,5620,5898
茨城県,2012,中国,14979,1947,6231,2470,4331
茨城県,2012,台湾,4567,916,896,1220,1535
茨城県,2012,香港,602,0,0,0,602
茨城県,2012,タイ,8546,2706,817,2746,2277
茨城県,2012,シンガポール,2445,238,1093,552,562
茨城県,2012,マレーシア,2813,444,491,0,1878
茨城県,2012,インド,2385,461,557,825,542
茨城県,2012,英国,4450,1643,815,1033,959
茨城県,2012,フランス,1290,649,180,226,235
茨城県,2012,ドイツ,3069,658,1136,649,626
茨城県,2012,ロシア,2547,508,507,909,623
茨城県,2012,カナダ,2364,438,1058,511,357
茨城県,2012,米国,12459,3749,1112,5187,2411
茨城県,2012,オーストラリア,2924,0,874,1027,1023
東京都,2013,韓国,748483,219868,199160,173372,156083
東京都,2013,中国,781886,129071,172099,278535,202181
東京都,2013,台湾,827819,152315,227146,255368,192990
東京都,2013,香港,304887,65487,83833,75549,80018
東京都,2013,タイ,255421,43884,64946,50377,96214
東京都,2013,シンガポール,126953,23214,35460,17297,50982
東京都,2013,マレーシア,103107,17569,21962,18535,45041
東京都,2013,インド,48819,10586,13385,12632,12216
東京都,2013,英国,150856,35881,38434,35364,41177
東京都,2013,フランス,123965,22858,32634,37126,31347
東京都,2013,ドイツ,79575,16976,20289,19628,22682
東京都,2013,ロシア,42364,8363,11589,11370,11042
東京都,2013,カナダ,113431,23543,31409,26559,31920
東京都,2013,米国,510599,106241,147160,120904,136294
東京都,2013,オーストラリア,178411,48516,40645,38186,51064
神奈川県,2013,韓国,166028,48943,41077,38859,37149
神奈川県,2013,中国,251728,31800,58453,101367,60108
神奈川県,2013,台湾,205859,36582,57593,68753,42931
神奈川県,2013,香港,49979,12238,11712,9014,17015
神奈川県,2013,タイ,50166,8249,9339,13009,19569
